epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.24599999999999997,13.651972074733814,0.001,0.206,14.540655170261669
2,0.2595999999999999,13.202450769605287,0.001,0.19,14.309065312152631
3,0.30279999999999985,12.175071498160218,0.001,0.208,14.409695006759154
4,0.2775999999999998,12.237859111470907,0.001,0.206,13.179913132620731
5,0.2191999999999998,11.622107260361856,0.001,0.206,9.834623722451067
6,0.20799999999999985,8.231201748097439,0.001,0.226,6.955794708037985
7,0.21479999999999985,5.786839026607847,0.001,0.24,7.50768473913775
8,0.20879999999999985,4.347411435914734,0.001,0.206,4.843465997109568
9,0.21119999999999975,3.69009122802337,0.001,0.208,2.100413641359489
10,0.21039999999999978,2.9695025696901842,0.001,0.22,2.116076330935382
11,0.2023999999999998,2.985418959704492,0.001,0.206,2.5705020644656984
12,0.21279999999999974,2.977592686045151,0.001,0.204,2.2041399531039354
13,0.20719999999999975,2.1595299810650013,0.001,0.192,1.7951077777807452
14,0.2011999999999997,2.01855687750362,0.001,0.198,2.048435895796857
15,0.19479999999999972,1.9859169904642766,0.001,0.218,1.6450288361606284
16,0.21199999999999972,1.75586375479918,0.001,0.194,1.6401200391342128
17,0.2071999999999998,1.7210485775009192,0.001,0.23,1.7346656097979676
18,0.2435999999999999,1.647238987916609,0.001,0.24,1.801214259901993
19,0.27799999999999997,1.8539743560181667,0.001,0.236,1.662278356491004
20,0.33999999999999986,1.727554802315022,0.001,0.224,1.7527856434745646
21,0.35240000000000005,1.5854727529940136,0.001,0.19,1.7099602595795296
22,0.37879999999999997,1.3874520324746877,0.001,0.22,1.7341075891845457
23,0.3907999999999999,1.4022899232119994,0.001,0.204,1.7517788389038873
24,0.39119999999999977,1.3294330446157563,0.001,0.21,1.6939941813070398
25,0.4044,1.4925619313841358,0.001,0.216,1.827817821443742
26,0.4007999999999997,1.3228641679388904,0.001,0.196,1.660388888832964
27,0.4155999999999998,1.2558911374060688,0.001,0.222,1.7321810328609721
28,0.4115999999999997,1.2347485016431028,0.0005,0.208,1.7514337272510778
29,0.4247999999999999,1.2580129953919406,0.0005,0.194,1.739906996850347
30,0.4103999999999997,1.2413578760530826,0.0005,0.208,1.7500455793323293
31,0.4423999999999998,1.2165643705071545,0.0005,0.242,1.718975261175021
32,0.4496,1.164625229769931,0.0005,0.202,1.801953798084942
33,0.46560000000000007,1.1814949688499636,0.0005,0.21,1.8803228604881936
34,0.4208,1.2052240908840048,0.0005,0.232,1.7198208076250683
35,0.4735999999999999,1.1204273764238137,0.0005,0.238,1.7397303615172437
36,0.45999999999999985,1.2234489013953196,0.0005,0.218,1.709337554436428
37,0.4471999999999998,1.1719268044135858,0.0005,0.198,1.6925177776395615
38,0.5032,1.1037068160319652,0.0005,0.23,1.739974821835526
39,0.47280000000000016,1.1734323880732858,0.0005,0.206,1.7227052339140922
40,0.49520000000000025,1.1369132851900872,0.0005,0.24,1.780660847812645
41,0.47720000000000007,1.0975342763736449,0.0005,0.228,1.785663147157963
42,0.504,1.0575851090063844,0.0005,0.21,1.7260077577008193
43,0.5132,1.0533770936358815,0.0005,0.234,1.744724238030652
44,0.4940000000000002,1.111436793494489,0.0005,0.208,1.7474809294138234
45,0.5039999999999999,1.0967159914580606,0.0005,0.212,1.831633044589706
46,0.48479999999999984,1.0835421725563525,0.0005,0.208,1.708899422169321
47,0.5144,1.0582677919285433,0.0005,0.184,1.7175703746008386
48,0.5184,1.0651110617152166,0.0005,0.218,1.804261892792725
49,0.5127999999999999,1.0487364360396194,0.0005,0.222,1.732155787815688
50,0.524,1.0549587635384134,0.0005,0.22,1.8346960860707466
51,0.5239999999999999,1.0258800662748702,0.0005,0.212,1.7360777250021557
52,0.5368000000000002,1.0561394685393326,0.00025,0.212,1.816161351301208
53,0.5440000000000002,0.9527704169393867,0.00025,0.216,1.7623845711673427
54,0.534,0.9899233118334433,0.00025,0.212,1.7789698672104912
55,0.5396,1.0478274967524714,0.00025,0.228,1.8380089891022964
56,0.5320000000000003,0.9888418289280884,0.00025,0.182,1.9240175829780775
57,0.5251999999999996,1.0194796687431968,0.00025,0.19,1.7789863348775008
58,0.5315999999999999,1.000087772527526,0.00025,0.206,1.8128866217615143
59,0.5272000000000001,0.996898529559139,0.00025,0.21,1.8009138769099169
60,0.5480000000000002,0.976520797713719,0.00025,0.208,1.8388133828490147
61,0.5232,1.0248429221550601,0.00025,0.214,1.7912243655156421
62,0.5596,0.9526851067650448,0.00025,0.218,1.806209994585021
63,0.5343999999999999,0.9751454081992335,0.00025,0.242,1.7635436060549503
64,0.5579999999999999,0.9644886432889136,0.00025,0.218,1.8301985505000917
65,0.5748000000000001,0.9494356542052378,0.00025,0.226,1.741676400386989
66,0.5531999999999997,0.9298733722870332,0.00025,0.2,1.7404535116668491
67,0.5656000000000001,0.9941516754024932,0.00025,0.23,1.7493904329945063
68,0.5672000000000003,0.9390849554028344,0.00025,0.232,1.714344189174506
69,0.5456000000000002,0.9805661731992475,0.00025,0.204,1.758396749126646
70,0.5579999999999999,0.9481902963525198,0.00025,0.216,1.8113272439039034
71,0.5748,0.9244004166946014,0.00025,0.218,1.7662275132198793
72,0.5832000000000002,0.9060521414379117,0.000125,0.208,1.8071834731552803
73,0.5639999999999998,0.9334233298912777,0.000125,0.262,1.7604727350770235
74,0.5772000000000002,0.936647258009179,0.000125,0.214,1.7423500349744108
75,0.5736000000000003,0.9099033704387948,0.000125,0.216,1.76474863870704
76,0.5920000000000001,0.8903211838397805,0.000125,0.23,1.8184421697825344
77,0.5776,0.909854245176279,0.000125,0.2,1.800866832610056
78,0.6044000000000002,0.8544054748184547,0.000125,0.21,1.8469338763127814
79,0.5664,0.9343856669266565,0.000125,0.24,1.759451794020987
80,0.6044000000000003,0.8621486643686737,0.000125,0.226,1.7808286251439098
81,0.6072000000000002,0.8365060670930373,0.000125,0.214,1.795248215968761
82,0.5864000000000001,0.8736140172718635,0.000125,0.206,1.7529961294819016
83,0.5852000000000004,0.8969952398454656,0.000125,0.242,1.7218182344888293
84,0.6104000000000002,0.8429202107261644,0.000125,0.226,1.7658683985952242
85,0.5736000000000001,0.8999083334381857,0.000125,0.218,1.7093185498636898
86,0.6080000000000002,0.8309713640715561,0.000125,0.202,1.778067380456882
87,0.6103999999999998,0.8464230915028608,0.000125,0.198,1.7924617500395066
88,0.6044000000000002,0.8591418384190663,0.000125,0.224,1.7420327428008986
89,0.6104,0.8528871162038856,0.000125,0.23,1.7602254698922168
90,0.6015999999999999,0.8600949625203681,0.000125,0.262,1.7260763228318272
91,0.6008,0.8735447961339392,0.000125,0.23,1.698890974252308
92,0.6016000000000001,0.8559373056974924,0.000125,0.204,1.7793713631079968
93,0.6036,0.8832761455259319,0.000125,0.234,1.7771382626159735
94,0.6184000000000001,0.8281247581250685,0.000125,0.226,1.75821343280178
95,0.6256000000000002,0.8359677073156087,0.000125,0.238,1.7215978422785037
96,0.6191999999999998,0.8331980568687216,0.000125,0.246,1.7285128496937996
97,0.6327999999999999,0.8108788908448503,0.000125,0.208,1.8647310664231742
98,0.5964000000000002,0.882246598209761,0.000125,0.226,1.7767678279961074
99,0.6264000000000002,0.8017248381889861,0.000125,0.242,1.7805677785936045
100,0.6368000000000003,0.7920657943854927,0.000125,0.242,1.7710755393734194
101,0.6100000000000003,0.8414420855398379,0.000125,0.226,1.7688086092233242
102,0.6336000000000002,0.7934277040336406,0.000125,0.246,1.7316264282070888
103,0.6192000000000004,0.8839193057741228,0.000125,0.23,1.809407324754999
104,0.6428,0.8005148387254327,0.000125,0.184,1.7718180934218097
105,0.6188000000000005,0.8461926356769541,0.000125,0.204,1.780127132747657
106,0.6184000000000003,0.8104496713017845,0.000125,0.218,1.7125649915464414
107,0.6296000000000002,0.8446660342804794,0.000125,0.236,1.754539894758208
108,0.6208,0.8127581963473345,0.000125,0.264,1.715734286461977
109,0.6132000000000002,0.852087991933471,0.000125,0.222,1.7891544711593588
110,0.6295999999999999,0.8036975479069456,0.000125,0.202,1.818644219484997
111,0.6512,0.7660317360551585,0.000125,0.198,1.768905073861637
112,0.6351999999999999,0.8120769924719512,0.000125,0.232,1.767440913362126
113,0.6304000000000001,0.8187412933764758,0.000125,0.236,1.6962440072361122
114,0.644,0.8048534322662186,0.000125,0.21,1.7412570013436572
115,0.6371999999999999,0.8002363751657561,0.000125,0.238,1.7274328213858634
116,0.6384000000000001,0.7903744169533354,0.000125,0.214,1.798211379994979
117,0.6144,0.8287460801006131,0.000125,0.252,1.765418388689595
118,0.6512,0.7554721943432636,0.000125,0.218,1.7841054732984092
119,0.6371999999999998,0.8006286291010967,0.000125,0.208,1.802570937950742
120,0.6348000000000003,0.79990674556853,0.000125,0.218,1.7510933189886664
121,0.6468000000000003,0.7584422968256156,0.000125,0.236,1.808802413783905
122,0.6524000000000002,0.7676856339568232,0.000125,0.212,1.8076611341823343
123,0.638,0.7836521823615996,0.000125,0.226,1.8099363749753579
124,0.6571999999999997,0.743414503403684,0.000125,0.224,1.7858123554874674
125,0.6380000000000001,0.8078668828376224,0.000125,0.228,1.788144522470012
126,0.6396000000000001,0.777164577029373,0.000125,0.254,1.8863788554318626
127,0.6836000000000001,0.7031420276529964,0.000125,0.238,1.768172068971031
128,0.6552000000000001,0.7554707261440728,0.000125,0.222,1.8107412054464083
129,0.6592000000000003,0.7765453994281399,0.000125,0.24,1.6816154671080665
130,0.6684000000000002,0.7415324880242069,0.000125,0.216,1.7452248501477017
131,0.662,0.7243132405536019,0.000125,0.23,1.7739834230795326
132,0.6508000000000004,0.7539405323329004,0.000125,0.2,1.7455340305015519
133,0.6656,0.7631401451728614,0.000125,0.252,1.774204711433923
134,0.6412000000000003,0.7901773810682269,0.000125,0.238,1.7847156773135238
135,0.6576000000000002,0.7742450509099927,0.000125,0.262,1.7449040272103096
136,0.6844000000000001,0.7028099685864287,0.000125,0.228,1.8030610501619233
137,0.676,0.7248373242802932,0.000125,0.232,1.7770723509166708
138,0.664,0.7618453764949495,0.000125,0.226,1.7819272055017537
139,0.6832000000000003,0.7392230527826265,0.000125,0.244,1.737969654410242
140,0.6524,0.7400244824835603,0.000125,0.242,1.7635266485146879
141,0.6619999999999999,0.7609688329195856,0.000125,0.232,1.7793663376954203
142,0.6711999999999999,0.7277364789714327,0.000125,0.204,1.8783600767279711
143,0.6768000000000002,0.7379390958184008,0.000125,0.222,1.8431356971276087
144,0.6772000000000001,0.7310033272481491,0.000125,0.214,1.9760829305072398
145,0.6516000000000001,0.7644201811357171,0.000125,0.23,1.8309921493259143
146,0.6932,0.6898411819053196,0.000125,0.222,2.078995870945922
147,0.6628000000000001,0.7399451768527707,0.000125,0.212,1.9113572554958047
148,0.6812000000000004,0.7284546008650976,0.000125,0.254,1.8286214360002326
149,0.6908000000000003,0.7044174014175242,0.000125,0.234,2.1142389108988353
150,0.6664000000000001,0.7503233917720135,0.000125,0.216,1.8812483428279172
151,0.6672000000000001,0.7498867179709324,0.000125,0.242,1.8382600188865794
152,0.7012000000000002,0.674876055364163,0.000125,0.222,1.808466650266674
153,0.6904,0.7018258180646457,0.000125,0.24,1.896144878222474
154,0.6768000000000001,0.7305624314699887,0.000125,0.222,1.7653811597777296
155,0.6879999999999998,0.7103451068791264,0.000125,0.232,1.8314634447567069
156,0.6783999999999999,0.7170819881340579,0.000125,0.256,1.795501670089058
157,0.6956000000000004,0.6971194004463768,0.000125,0.268,1.9709659727071394
158,0.6748000000000002,0.7098626217348343,0.000125,0.228,1.9768441080291093
159,0.6880000000000003,0.7177546460571504,0.000125,0.226,1.7962919627301235
160,0.7100000000000003,0.6653858610376823,0.000125,0.236,1.9988030902579317
161,0.6923999999999999,0.702033591178078,0.000125,0.252,1.7334619242864837
162,0.6940000000000002,0.6904300593760822,0.000125,0.252,1.7127747490466132
163,0.7168000000000001,0.6524004138702226,0.000125,0.256,1.9498785435086614
164,0.6923999999999998,0.6599652255967325,0.000125,0.234,1.9265704225683717
165,0.7076000000000003,0.6641556165433086,0.000125,0.232,2.040697989008147
166,0.6976000000000003,0.6982448604682198,0.000125,0.252,1.8442465027420716
167,0.6968000000000002,0.6939605747837697,0.000125,0.22,1.946127967226177
168,0.6880000000000002,0.7320997887490978,0.000125,0.222,1.8371341787893274
169,0.6872000000000001,0.683709036068146,0.000125,0.214,1.8317745626624757
170,0.7007999999999999,0.6596924617434661,0.000125,0.244,1.8082099263071703
171,0.7312000000000003,0.6241520575981379,0.000125,0.208,1.9718735275274155
172,0.7232000000000004,0.6353137127725925,0.000125,0.228,1.9718945888284307
173,0.7024000000000004,0.6854811237137344,0.000125,0.214,1.8613666838302827
174,0.7076000000000003,0.6569994060556317,0.000125,0.22,1.9553709984641061
175,0.7176000000000002,0.6493803481089219,0.000125,0.242,1.7859294521266305
176,0.7308,0.6531429520113049,0.000125,0.236,1.830274197614464
177,0.7016000000000002,0.6712186532901017,0.000125,0.232,1.8051162419920257
178,0.7112,0.6473743626867866,0.000125,0.226,1.7786381950474226
179,0.7036,0.6792574823971023,0.000125,0.222,1.8058878350162482
180,0.7044000000000001,0.6638461214545751,0.000125,0.256,1.7878225988285048
181,0.6944000000000001,0.6622085881398941,0.000125,0.234,1.7856350042958729
182,0.7111999999999999,0.6800241275542528,0.000125,0.244,1.7752729541783043
183,0.7140000000000002,0.6717995212717706,0.000125,0.216,1.8846505867753827
184,0.6872000000000003,0.678901199893942,0.000125,0.22,1.8412746657352417
185,0.7156000000000003,0.6323925563386442,0.000125,0.2,1.8534697376145093
186,0.7060000000000001,0.6602570073508476,0.000125,0.224,1.8072154674294063
187,0.7284,0.6066035619670224,0.000125,0.226,1.8323221988737295
188,0.7224000000000003,0.6427774018660309,0.000125,0.254,1.7339130488998156
189,0.7164000000000007,0.7068474481137662,0.000125,0.238,1.8302419009700104
190,0.7136000000000001,0.6998591022710109,0.000125,0.234,1.7905742906513655
191,0.7096000000000001,0.6528342471195269,0.000125,0.242,1.7760352368280719
192,0.7020000000000002,0.6708566638456368,0.000125,0.228,1.841329205653802
193,0.714,0.6475000915852327,0.000125,0.212,1.8798079179675367
194,0.7112000000000003,0.6617966896249954,0.000125,0.232,1.777635437454189
195,0.7312000000000001,0.6096560949194835,0.000125,0.246,1.777850841556324
196,0.7216000000000001,0.6403831981287794,0.000125,0.214,1.7917784921331759
197,0.7136000000000002,0.6327776758252583,0.000125,0.21,1.8684592669045565
198,0.7084000000000004,0.6689630987575059,0.000125,0.218,1.8068898704444623
199,0.7188000000000002,0.6181133263766403,0.000125,0.258,1.8653344432074646
200,0.7416000000000001,0.5695841382923619,0.000125,0.236,1.7873470242470952
